# Angle [deg]	Magnitude [dB]
-8.140000000000048885e+01	-3.297916871060513699e+01
-8.130000000000049454e+01	-3.285857441801469747e+01
-8.120000000000050022e+01	-3.273832973257343326e+01
-8.110000000000050591e+01	-3.261844645618562311e+01
-8.100000000000051159e+01	-3.249893581560915123e+01
-8.090000000000051728e+01	-3.237980848502915876e+01
-8.080000000000052296e+01	-3.226107460797197035e+01
-8.070000000000052864e+01	-3.214274381855894802e+01
-8.060000000000053433e+01	-3.202482526210864222e+01
-8.050000000000054001e+01	-3.190732761509527649e+01
-8.040000000000054570e+01	-3.179025910446947023e+01
-8.030000000000055138e+01	-3.167362752635202128e+01
-8.020000000000055707e+01	-3.155744026411338155e+01
-8.010000000000056275e+01	-3.144170430584716769e+01
-8.000000000000056843e+01	-3.132642626125046093e+01
-7.990000000000057412e+01	-3.121161237792542664e+01
-7.980000000000057980e+01	-3.109726855711407723e+01
-7.970000000000058549e+01	-3.098340036887848115e+01
-7.960000000000059117e+01	-3.087001306674279988e+01
-7.950000000000059686e+01	-3.075711160180936687e+01
-7.940000000000060254e+01	-3.064470063636347419e+01
-7.930000000000060822e+01	-3.053278455698059446e+01
-7.920000000000061391e+01	-3.042136748715135397e+01
-7.910000000000061959e+01	-3.031045329943746225e+01
-7.900000000000062528e+01	-3.020004562717293339e+01
-7.890000000000063096e+01	-3.009014787572492367e+01
-7.880000000000063665e+01	-2.998076323332799831e+01
-7.870000000000064233e+01	-2.987189468150462801e+01
-7.860000000000064801e+01	-2.976354500508729828e+01
-7.850000000000065370e+01	-2.965571680185301062e+01
-7.840000000000065938e+01	-2.954841249178605267e+01
-7.830000000000066507e+01	-2.944163432597845187e+01
-7.820000000000067075e+01	-2.933538439518363461e+01
-7.810000000000067644e+01	-2.922966463803426507e+01
-7.800000000000068212e+01	-2.912447684893513866e+01
-7.790000000000068781e+01	-2.901982268564504608e+01
-7.780000000000069349e+01	-2.891570367655679519e+01
-7.770000000000069917e+01	-2.881212122768711836e+01
-7.760000000000070486e+01	-2.870907662938817850e+01
-7.750000000000071054e+01	-2.860657106278907946e+01
-7.740000000000071623e+01	-2.850460560598030568e+01
-7.730000000000072191e+01	-2.840318123994622113e+01
-7.720000000000072760e+01	-2.830229885426122394e+01
-7.710000000000073328e+01	-2.820195925255405456e+01
-7.700000000000073896e+01	-2.810216315774999174e+01
-7.690000000000074465e+01	-2.800291121710229447e+01
-7.680000000000075033e+01	-2.790420400701663795e+01
-7.670000000000075602e+01	-2.780604203768166371e+01
-7.660000000000076170e+01	-2.770842575750836900e+01
-7.650000000000076739e+01	-2.761135555739099345e+01
-7.640000000000077307e+01	-2.751483177479123654e+01
-7.630000000000077875e+01	-2.741885469765803407e+01
-7.620000000000078444e+01	-2.732342456818534515e+01
-7.610000000000079012e+01	-2.722854158641752420e+01
-7.600000000000079581e+01	-2.713420591370689294e+01
-7.590000000000080149e+01	-2.704041767602961244e+01
-7.580000000000080718e+01	-2.694717696716656263e+01
